Time	u_1	var_u1	
4.65	-1.6995	1	
4.66	-1.5705	1	
4.67	-0.57724	1	
4.68	-0.037722	1	
4.69	-0.6806	1	
4.7	-1.3554	1	
4.71	-0.16796	1	
4.72	-0.18568	1	
4.73	-0.86544	1	
4.74	-0.41544	1	
4.75	-0.57489	1	
4.76	-1.9756	1	
4.77	-0.23001	1	
4.78	-1.6477	1	
4.79	-1.5952	1	
4.8	-0.81517	1	
4.81	-1.3004	1	
4.82	-1.1254	1	
4.83	-0.39894	1	
4.84	0.051882	1	
4.85	-1.1935	1	
4.86	-0.66846	1	
4.87	-1.235	1	
4.88	-0.76756	1	
4.89	-0.55761	1	
4.9	-1.6149	1	
4.91	-0.72356	1	
4.92	-0.39763	1	
4.93	-0.90672	1	
4.94	0.73055	1	
4.95	-1.6081	1	
4.96	-1.7367	1	
4.97	-2.7497	1	
4.98	-0.089438	1	
4.99	-0.1329	1	
5	-1.0799	1	
5.01	-0.1015	1	
5.02	-0.81622	1	
5.03	-0.70903	1	
5.04	-0.88674	1	
5.05	-0.55955	1	
5.06	-0.89763	1	
5.07	1.7883	1	
5.08	-2.1654	1	
5.09	-2.8527	1	
5.1	-2.1387	1	
5.11	-2.091	1	
5.12	-1.4308	1	
5.13	-1.1651	1	
5.14	-1.2147	1	
5.15	-0.45423	1	
5.16	-0.60568	1	
5.17	-0.24307	1	
5.18	0.78464	1	
5.19	0.23018	1	
5.2	-2.2754	1	
5.21	-3.3203	1	
5.22	-0.08853	1	
5.23	-2.8252	1	
5.24	-0.92189	1	
5.25	-0.95221	1	
5.26	1.2405	1	
5.27	-1.0549	1	
5.28	-1.4919	1	
5.29	-0.74764	1	
5.3	-0.73648	1	
5.31	-0.91105	1	
5.32	-1.5884	1	
5.33	-2.2012	1	
5.34	-0.66077	1	
5.35	-2.3188	1	
5.36	-2.0067	1	
5.37	0.35812	1	
5.38	-1.3905	1	
5.39	-1.1104	1	
5.4	-0.068761	1	
5.41	-1.2671	1	
5.42	0.063984	1	
5.43	-1.3088	1	
5.44	0.050774	1	
5.45	-0.33096	1	
5.46	-1.1715	1	
5.47	-1.8224	1	
5.48	-1.998	1	
5.49	-1.223	1	
5.5	-1.3892	1	
5.51	-1.3578	1	
5.52	0.036447	1	
5.53	-1.2428	1	
5.54	0.20069	1	
5.55	-1.4725	1	
5.56	0.033832	1	
5.57	-1.4588	1	
5.58	-0.75775	1	
5.59	0.038667	1	
5.6	-1.3437	1	
5.61	-1.3657	1	
5.62	1.0783	1	
5.63	0.028321	1	
5.64	-1.3522	1	
5.65	-0.26881	1	
5.66	-1.2753	1	
5.67	-0.20681	1	
5.68	0.50574	1	
5.69	-2.512	1	
5.7	0.12403	1	
5.71	0.55583	1	
5.72	-0.85193	1	
5.73	0.84962	1	
5.74	-0.73845	1	
5.75	-2.1281	1	
5.76	-3.0816	1	
5.77	-1.2186	1	
5.78	-0.16875	1	
5.79	-0.56191	1	
5.8	-0.4627	1	
5.81	-1.4503	1	
5.82	-0.72618	1	
5.83	-2.5057	1	
5.84	-1.624	1	
5.85	-1.6795	1	
5.86	-0.3378	1	
5.87	-0.86844	1	
5.88	-2.0065	1	
5.89	-0.8572	1	
5.9	-1.5341	1	
5.91	-1.5076	1	
5.92	0.026621	1	
5.93	-0.72066	1	
5.94	-0.43223	1	
5.95	0.056889	1	
5.96	-0.64327	1	
5.97	-0.2691	1	
5.98	-0.13337	1	
5.99	0.35791	1	
6	-0.33316	1	
6.01	0.60692	1	
6.02	-0.77896	1	
6.03	-0.84566	1	
6.04	0.90734	1	
6.05	-1.2999	1	
6.06	-0.78914	1	
6.07	0.13748	1	
6.08	-0.62865	1	
6.09	0.63043	1	
6.1	0.26361	1	
6.11	-0.47492	1	
6.12	-1.5401	1	
6.13	-0.19167	1	
6.14	-2.1369	1	
6.15	-0.50564	1	
6.16	0.062498	1	
6.17	-0.5287	1	
6.18	0.14216	1	
6.19	1.3056	1	
6.2	0.19496	1	
6.21	-0.45774	1	
6.22	-0.078648	1	
6.23	-0.29045	1	
6.24	-2.0263	1	
6.25	-1.1235	1	
6.26	0.52204	1	
6.27	-0.74175	1	
6.28	-0.11123	1	
6.29	-1.6956	1	
6.3	-0.62003	1	
6.31	-0.079661	1	
6.32	-2.0368	1	
6.33	-0.32309	1	
6.34	-0.84786	1	
6.35	-1.6008	1	
6.36	-0.69412	1	
6.37	-2.5481	1	
6.38	-2.775	1	
6.39	-1.8192	1	
6.4	-1.628	1	
6.41	-1.8056	1	
6.42	-2.3531	1	
6.43	-0.33456	1	
6.44	-2.212	1	
6.45	-0.50269	1	
6.46	0.17914	1	
6.47	-0.60516	1	
6.48	-0.5048	1	
6.49	-0.97101	1	
6.5	-2.0705	1	
6.51	-0.62651	1	
6.52	0.38325	1	
6.53	1.1658	1	
6.54	-0.99748	1	
6.55	-2.1894	1	
6.56	-0.39053	1	
6.57	-0.17538	1	
6.58	-0.77334	1	
6.59	-1.69	1	
6.6	1.4885	1	
6.61	-2.89	1	
6.62	-1.0351	1	
6.63	-1.8414	1	
6.64	-1.1506	1	
6.65	-0.19119	1	
6.66	-0.36558	1	
6.67	-1.2089	1	
6.68	0.28428	1	
6.69	0.13514	1	
6.7	0.16563	1	
6.71	-0.90187	1	
6.72	0.57788	1	
6.73	0.19556	1	
6.74	2.0492	1	
6.75	0.60947	1	
6.76	0.70854	1	
6.77	-0.38978	1	
6.78	-1.7255	1	
6.79	-0.80268	1	
6.8	-1.1836	1	
6.81	-0.98405	1	
6.82	0.14076	1	
6.83	-0.96543	1	
6.84	-1.298	1	
6.85	-0.80648	1	
6.86	-0.55226	1	
6.87	0.02375	1	
6.88	-1.3324	1	
6.89	-0.056642	1	
6.9	-0.2901	1	
6.91	0.96211	1	
6.92	-0.56958	1	
6.93	-0.48501	1	
6.94	-1.516	1	
6.95	-1.724	1	
6.96	-0.022311	1	
6.97	-0.57638	1	
6.98	0.1828	1	
6.99	-1.2076	1	
7	1.5995	1	
7.01	-0.1808	1	
7.02	0.74999	1	
7.03	-0.51796	1	
7.04	-0.44752	1	
7.05	0.41106	1	
7.06	0.2828	1	
7.07	-1.3872	1	
7.08	-1.7935	1	
7.09	-1.3526	1	
7.1	-1.6645	1	
7.11	-0.18303	1	
7.12	-0.64775	1	
7.13	-0.5984	1	
7.14	-1.5852	1	
7.15	0.56142	1	
7.16	0.2274	1	
7.17	-0.29549	1	
7.18	0.82147	1	
7.19	-1.0675	1	
7.2	0.22732	1	
7.21	0.16724	1	
7.22	0.17423	1	
7.23	-0.89808	1	
7.24	0.1642	1	
7.25	-0.67132	1	
7.26	-1.0467	1	
7.27	-1.3473	1	
7.28	0.90003	1	
7.29	-0.97751	1	
7.3	-0.29825	1	
7.31	-1.3277	1	
7.32	-0.40998	1	
7.33	-3.3386	1	
7.34	-1.1873	1	
7.35	-1.5205	1	
7.36	-1.1023	1	
7.37	-0.29486	1	
7.38	-0.40067	1	
7.39	1.8753	1	
7.4	-0.63456	1	
7.41	-0.30655	1	
7.42	-1.6196	1	
7.43	-0.52135	1	
7.44	-1.3757	1	
7.45	-0.0011117	1	
7.46	0.82796	1	
7.47	0.38541	1	
7.48	-0.71319	1	
7.49	-1.6368	1	
7.5	1.46	1	
7.51	2.0563	1	
7.52	0.13307	1	
7.53	-0.97105	1	
7.54	1.2229	1	
7.55	-0.56125	1	
7.56	-0.43212	1	
7.57	0.93035	1	
7.58	-1.335	1	
7.59	-1.9002	1	
7.6	0.48347	1	
7.61	0.4698	1	
7.62	0.17047	1	
7.63	0.57828	1	
7.64	1.1701	1	
7.65	1.0646	1	
7.66	-0.46821	1	
7.67	0.91658	1	
7.68	0.2861	1	
7.69	-0.38645	1	
7.7	-1.068	1	
7.71	0.77854	1	
7.72	-0.21583	1	
7.73	0.19045	1	
7.74	-0.64272	1	
7.75	-1.3941	1	
7.76	0.33422	1	
7.77	0.10669	1	
7.78	1.3741	1	
7.79	0.98291	1	
7.8	1.2407	1	
7.81	-0.55533	1	
7.82	-0.73662	1	
7.83	-1.0632	1	
7.84	0.70999	1	
7.85	3.0072	1	
7.86	0.95184	1	
7.87	-0.54267	1	
7.88	1.0731	1	
7.89	-0.88573	1	
7.9	-1.1758	1	
7.91	0.97221	1	
7.92	-0.51706	1	
7.93	0.58289	1	
7.94	1.6795	1	
7.95	0.68012	1	
7.96	1.2147	1	
7.97	-1.3148	1	
7.98	0.95858	1	
7.99	2.4415	1	
8	0.85016	1	
8.01	-1.2259	1	
8.02	0.1178	1	
8.03	-0.17308	1	
8.04	0.71584	1	
8.05	0.75077	1	
8.06	0.75014	1	
8.07	-0.013246	1	
8.08	-0.24286	1	
8.09	-0.22731	1	
8.1	1.2217	1	
8.11	-1.479	1	
8.12	0.17248	1	
8.13	0.65596	1	
8.14	-0.2614	1	
8.15	0.87438	1	
